id_lector,id_libro,label
1,el-asesino-ciego,
1,la-tabla-de-flandes,
1,sociedad-negra,
1,el-problema-final,
1,el-mar,
1,tostonazo,
1,muerte-y-vida-de-bobby-z,
1,enero-sangriento,
1,los-renglones-torcidos-de-dios,
1,las-memorias-de-maigret,
1,hijos-de-febrero,
1,el-senor-wilder-y-yo,
1,la-diagonal-alekhine,
1,corrupcion-policial,
1,el-hereje,
1,madrid-5,
1,novela-de-ajedrez,
1,un-fracaso-de-maigret,
1,el-lobo-estepario,
1,la-tercera-virgen,
1,terra-alta,
1,metropolis-3,
1,yeruldelgger-la-muerte-nomada,
1,eva-falco-2,
1,falco,
1,naturaleza-casi-muerta,
1,celeste-65,
1,el-alienista-1,
1,el-libro-de-los-baltimore,
1,de-todo-corazon,
1,el-ultimo-caso-de-philip-trent,
1,tan-poca-vida-a-little-life,
1,dinero-1,
1,el-guardian-invisible-trilogia-del-baztan-1,
1,brilla-mar-del-eden,
1,como-la-sombra-que-se-va,
1,el-francotirador-paciente,
1,el-club-de-los-estrellados,
1,cinco-mujeres-y-media,
1,en-la-orilla,
1,la-fragilidad-de-los-cuerpos,
1,la-caida-de-los-gigantes-the-century-1,
1,vive-como-puedas,
1,los-enamoramientos,
2,el-dia-que-se-perdio-la-cordura,
2,marina,
2,mas-alla-del-invierno,
2,persiguiendo-a-silvia,
2,el-mentiroso-3,
2,las-deudas-del-cuerpo-dos-amigas-3,
2,los-testamentos,
2,las-uvas-de-la-ira,
2,stonehenge,
2,no-soy-un-monstruo,
2,ines-del-alma-mia,
2,los-chicos-que-cayeron-en-la-trampa,
2,frankenstein-8,
2,frankenstein-1,
2,el-verano-de-los-juguetes-muertos,
2,veinte,
2,la-carne,
2,los-pacientes-del-doctor-garcia-episodios-de-una-guerra-interminable-4,
2,el-corazon-helado,
2,todo-esto-te-dare,
2,fulgor,
2,un-monstruo-viene-a-verme,
2,te-deje-ir,
2,milena-o-el-femur-mas-bello-del-mundo,
2,atada-a-ti,
2,no-te-escondo-nada,
2,la-venganza-viste-de-prada,
2,reflejada-en-ti,
2,el-jardin-olvidado,
2,la-sombra-del-viento-el-cementerio-de-los-libros-olvidados-1,
2,el-diario-de-ana-frank,
2,harry-potter-y-las-reliquias-de-la-muerte,
2,la-milla-verde-el-pasillo-de-la-muerte,
2,una-entrega-especial,
2,cuando-late-un-corazon,
2,no-hay-un-amor-mas-grande,
2,la-fortaleza-digital,
2,la-conspiracion,
2,los-hombres-que-no-amaban-a-las-mujeres-millennium-i,
2,adn,
2,emma,
2,sentido-y-sensibilidad,
2,orgullo-y-prejuicio,
2,rimas-y-leyendas,
2,el-perfume,
2,la-metamorfosis,
2,lazarillo-de-tormes,
2,cuentos-de-navidad-2,
2,platero-y-yo,
2,plenilunio,
2,la-casa-de-los-amores-imposibles,
2,la-casa-de-los-espiritus,
2,la-maquina-de-ajedrez,
2,los-cinco-juntos-otra-vez,
2,tercer-ano-en-torres-de-malory,
2,el-siglo-de-los-genocidios-violencias-masacres-y-procesos-genocidas-desde-armenia-a-ruanda,
2,next,
2,por-los-pelos,
2,la-crisis-ninja-y-otros-misterios-de-la-economia-actual,
2,la-tapadera,
2,diez-negritos,
2,marianela,
2,segundo-grado-en-torres-de-malory-1,
2,madame-bovary,
2,villa-diamante,
2,el-ocho,
2,cincuenta-sombras-de-grey-trilogia-cincuenta-sombras-1,
2,cincuenta-sombras-mas-oscuras-trilogia-cincuenta-sombras-2,
2,la-ley-de-los-justos,
2,el-hipnotista,
2,somos-uno,
4,distintas-formas-de-mirar-el-agua,
4,mi-padre-aleman,
4,el-pianista-del-gueto-de-varsovia,
4,entre-visillos,
4,una-mujer-furiosa,
4,el-ancho-mundo,
4,los-anos-de-peregrinacion-del-chico-sin-color,
4,el-terror-rojo-3,
4,las-cosas-que-perdimos-en-el-fuego,
4,bartleby-el-escribiente,
4,el-nombre-del-viento,
4,el-doctor-zhivago,
4,todo-va-a-mejorar,
4,el-lector,
4,una-historia-ridicula,
4,1984,
4,el-malestar-en-la-cultura,
